,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
7125,R. Seager,22,England,Yeovil Town,ST,ST,165.0,Right,"Feb 1, 2019",20,1539,333,Medium,Low,73,61,50,62,24,63,5.0,61.0,61.0,61.0,59.0,60.0,60.0,60.0,59.0,58.0,58.0,58.0,58.0,52.0,52.0,52.0,58.0,44.0,40.0,40.0,40.0,44.0,41.0,37.0,37.0,37.0,41.0,14.0,62,5.628388930050312,3.3010299956639813,5.918554530550273
7126,R. López,27,Mexico,Deportivo Toluca,RB,RB,165.0,Right,"Jun 14, 2016",65,1970,421,High,Medium,79,65,72,69,67,69,13.0,68.0,68.0,68.0,70.0,68.0,68.0,68.0,70.0,68.0,68.0,68.0,71.0,69.0,69.0,69.0,71.0,72.0,68.0,68.0,68.0,72.0,71.0,66.0,66.0,66.0,71.0,15.0,73,6.6020599913279625,4.204119982655925,0.0
7127,Neris,27,Brazil,Boavista FC,CB,CB,190.0,Right,"Jul 11, 2018",73,1571,334,Low,High,50,39,46,44,71,84,5.0,49.0,49.0,49.0,43.0,45.0,45.0,45.0,43.0,45.0,45.0,45.0,46.0,52.0,52.0,52.0,46.0,59.0,66.0,66.0,66.0,59.0,62.0,72.0,72.0,72.0,62.0,15.0,73,6.6020599913279625,3.7781512503836434,7.939519252618618
7128,A. Mayorga,23,Mexico,U.N.A.M.,LWB,LB,157.0,Left,"Jun 1, 2015",65,1778,392,High,High,79,50,60,69,64,70,64.0,61.0,61.0,61.0,64.0,62.0,62.0,62.0,64.0,63.0,63.0,63.0,65.0,63.0,63.0,63.0,65.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,66.0,16.0,68,7.041392685158225,3.6989700043360187,0.0
7129,Adrián Bernabé,19,Spain,Manchester City,CAM,CAM,150.0,Left,"Sep 13, 2019",39,1579,339,Medium,Medium,73,55,56,69,38,48,45.0,57.0,57.0,57.0,61.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,56.0,56.0,56.0,61.0,51.0,48.0,48.0,48.0,51.0,49.0,43.0,43.0,43.0,49.0,15.0,61,5.740362689494244,3.9542425094393248,7.146128035678238
7130,J. Requena,19,Argentina,Newell's Old Boys,CDM,CM,159.0,Right,"Dec 7, 2018",57,1562,335,Medium,Medium,59,48,55,59,54,60,3.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,16.0,57,5.342422680822207,3.3010299956639813,5.670245853074124
7131,F. Ponce,31,Mexico,Deportivo Pasto,CAM,CAM CM,148.0,Right,"Aug 30, 2019",36,1683,359,Medium,Medium,72,61,62,64,43,57,3.0,61.0,61.0,61.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0,61.0,61.0,61.0,63.0,56.0,54.0,54.0,54.0,56.0,54.0,49.0,49.0,49.0,54.0,18.0,65,5.676693609624866,3.0,5.806858029518818
7132,S. Anderson,16,United States,Colorado Rapids,RB,RB,141.0,Right,"Apr 3, 2019",41,1352,288,Medium,Medium,61,32,43,53,48,51,3.0,44.0,44.0,44.0,48.0,46.0,46.0,46.0,48.0,46.0,46.0,46.0,49.0,46.0,46.0,46.0,49.0,51.0,49.0,49.0,49.0,51.0,51.0,49.0,49.0,49.0,51.0,13.0,52,5.0,2.6989700043360187,5.389166084364533
7133,Javi Martínez,31,Spain,FC Bayern München,CB,CDM CB,190.0,Right,"Aug 29, 2012",84,1884,388,Low,Medium,37,55,69,63,84,80,107.0,63.0,63.0,63.0,60.0,63.0,63.0,63.0,60.0,65.0,65.0,65.0,62.0,72.0,72.0,72.0,62.0,72.0,79.0,79.0,79.0,72.0,73.0,82.0,82.0,82.0,73.0,17.0,81,8.130333768495007,4.880813592280791,8.348304863048162
7134,T. Asta-Buruaga,23,Chile,Universidad Católica,CB,CB,157.0,Right,"Jan 9, 2020",71,1591,340,Medium,Medium,62,42,48,51,67,70,8.0,51.0,51.0,51.0,50.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,62.0,60.0,60.0,60.0,62.0,63.0,66.0,66.0,66.0,63.0,18.0,66,5.954242509439325,3.4771212547196626,7.146128035678238
7135,R. Richards,18,England,Tottenham Hotspur,ST,ST RM LM,165.0,Right,"Jul 1, 2017",17,1483,318,Medium,Medium,76,60,50,57,23,52,9.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,58.0,57.0,57.0,57.0,57.0,51.0,51.0,51.0,57.0,42.0,39.0,39.0,39.0,42.0,40.0,34.0,34.0,34.0,40.0,16.0,59,5.511883360978874,3.6989700043360187,5.914343157119441
7136,L. Dunne,20,Republic of Ireland,Colchester United,LM,CM CAM LM,154.0,Left,"Jul 1, 2015",47,1495,320,Medium,Medium,71,43,56,58,45,47,3.0,48.0,48.0,48.0,55.0,52.0,52.0,52.0,55.0,55.0,55.0,55.0,56.0,54.0,54.0,54.0,56.0,53.0,50.0,50.0,50.0,53.0,52.0,45.0,45.0,45.0,52.0,15.0,55,5.230448921378274,3.3010299956639813,5.606381365110605
7137,N. Kirby,20,England,Crystal Palace,RM,LM CAM,146.0,Right,"Feb 8, 2017",39,1492,324,Medium,Medium,71,45,57,64,36,51,30.0,51.0,51.0,51.0,58.0,55.0,55.0,55.0,58.0,58.0,58.0,58.0,59.0,55.0,55.0,55.0,59.0,50.0,49.0,49.0,49.0,50.0,48.0,42.0,42.0,42.0,48.0,13.0,60,5.653212513775344,3.7781512503836434,7.041392685158225
7138,J. Lawrence-Gabriel,21,England,Nottingham Forest,RB,RB,165.0,Right,"Jan 4, 2015",59,1499,326,High,Medium,76,30,41,59,58,62,6.0,47.0,47.0,47.0,52.0,49.0,49.0,49.0,52.0,48.0,48.0,48.0,53.0,47.0,47.0,47.0,53.0,58.0,52.0,52.0,52.0,58.0,58.0,58.0,58.0,58.0,58.0,17.0,60,5.511883360978874,3.6989700043360187,5.834420703681532
7139,M. van Ewijk,19,Netherlands,ADO Den Haag,RB,RB,154.0,Right,"Jul 1, 2019",60,1599,358,Medium,Medium,85,35,50,63,59,66,13.0,51.0,51.0,51.0,56.0,53.0,53.0,53.0,56.0,53.0,53.0,53.0,58.0,53.0,53.0,53.0,58.0,62.0,58.0,58.0,58.0,62.0,62.0,60.0,60.0,60.0,62.0,16.0,64,5.795880017344075,3.0,6.0
7140,S. Kießling,33,Germany,Bayer 04 Leverkusen,ST,ST,179.0,Right,"Jul 1, 2006",26,1820,378,High,Medium,54,76,66,63,44,75,5.0,74.0,74.0,74.0,68.0,71.0,71.0,71.0,68.0,69.0,69.0,69.0,67.0,66.0,66.0,66.0,67.0,57.0,58.0,58.0,58.0,57.0,55.0,57.0,57.0,57.0,55.0,16.0,75,7.623249290397901,4.698970004336019,7.8512583487190755
7141,J. Ceesay,22,Sweden,Helsingborgs IF,RM,RM RB,152.0,Right,"Jan 8, 2020",48,1581,351,Medium,Medium,77,51,54,63,51,55,4.0,55.0,55.0,55.0,60.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,60.0,56.0,56.0,56.0,60.0,57.0,54.0,54.0,54.0,57.0,56.0,52.0,52.0,52.0,56.0,14.0,61,5.6020599913279625,2.7781512503836434,5.763427993562937
7142,Felipe Araruna,24,Brazil,Reading,RWB,CDM CM RB,154.0,Right,"Jan 30, 2020",60,1620,356,Medium,Medium,73,32,59,66,64,62,5.0,49.0,49.0,49.0,58.0,55.0,55.0,55.0,58.0,59.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,67.0,65.0,65.0,65.0,67.0,66.0,62.0,62.0,62.0,66.0,13.0,66,5.9164539485499255,3.6020599913279625,7.230448921378274
7143,M. van Bergen,20,Netherlands,SC Heerenveen,RW,RW,137.0,Right,"Aug 31, 2018",28,1729,375,High,Low,93,67,64,77,25,49,145.0,66.0,66.0,66.0,74.0,72.0,72.0,72.0,74.0,72.0,72.0,72.0,72.0,63.0,63.0,63.0,72.0,54.0,47.0,47.0,47.0,54.0,50.0,36.0,36.0,36.0,50.0,17.0,74,6.903089986991944,3.9030899869919438,8.12057393120585
7144,I. Lewczuk,35,Poland,Legia Warszawa,CB,CB,183.0,Right,"Jul 1, 2019",68,1668,337,Medium,Medium,37,44,60,56,68,72,4.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,58.0,58.0,58.0,55.0,61.0,65.0,65.0,65.0,61.0,61.0,68.0,68.0,68.0,61.0,20.0,68,5.439332693830263,3.6020599913279625,5.585460729508501
7145,O. Edvardsen,21,Norway,Stabæk Fotball,LM,RW ST,154.0,Left,"Aug 31, 2019",36,1682,371,High,Medium,86,58,54,68,41,64,7.0,62.0,62.0,62.0,64.0,63.0,63.0,63.0,64.0,62.0,62.0,62.0,64.0,57.0,57.0,57.0,64.0,55.0,51.0,51.0,51.0,55.0,54.0,49.0,49.0,49.0,54.0,15.0,64,5.903089986991944,3.0,7.079181246047625
7147,A. Morales,30,United States,Fortuna Düsseldorf,CDM,CDM CM,170.0,Right,"Jul 1, 2018",66,1915,403,High,High,64,58,69,70,66,76,19.0,63.0,63.0,63.0,66.0,66.0,66.0,66.0,66.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,68.0,70.0,71.0,71.0,71.0,70.0,69.0,68.0,68.0,68.0,69.0,19.0,72,7.414973347970818,4.2552725051033065,7.623249290397901
7148,O. Aydın,23,Germany,Chemnitzer FC,CAM,RM LM CM,139.0,Right,"Jul 1, 2017",33,1622,342,Medium,Medium,80,58,57,69,34,44,4.0,58.0,58.0,58.0,64.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,63.0,59.0,59.0,59.0,63.0,53.0,49.0,49.0,49.0,53.0,50.0,39.0,39.0,39.0,50.0,18.0,64,5.778151250383644,2.6989700043360187,5.9614210940664485
7149,J. Marié,28,France,Dijon FCO,CM,CM CDM,161.0,Right,"Feb 14, 2013",64,1774,374,Medium,Medium,51,55,66,71,65,66,4.0,60.0,60.0,60.0,64.0,65.0,65.0,65.0,64.0,67.0,67.0,67.0,66.0,69.0,69.0,69.0,66.0,67.0,69.0,69.0,69.0,67.0,66.0,65.0,65.0,65.0,66.0,18.0,69,6.0,3.9030899869919438,6.301029995663981
7150,G. Holtmann,25,Germany,VfL Bochum 1848,LM,LM LWB LB,170.0,Left,"Aug 24, 2020",59,1767,399,Medium,Medium,89,63,61,70,57,59,13.0,65.0,65.0,65.0,69.0,67.0,67.0,67.0,69.0,66.0,66.0,66.0,68.0,63.0,63.0,63.0,68.0,65.0,60.0,60.0,60.0,65.0,63.0,57.0,57.0,57.0,63.0,15.0,69,7.113943352306837,3.9542425094393248,7.342422680822207
7151,A. Ranocchia,32,Italy,Inter,CB,CB,179.0,Right,"Jun 1, 2010",75,1534,324,Low,Medium,32,32,57,58,78,67,32.0,49.0,49.0,49.0,48.0,50.0,50.0,50.0,48.0,53.0,53.0,53.0,52.0,60.0,60.0,60.0,52.0,63.0,70.0,70.0,70.0,63.0,65.0,74.0,74.0,74.0,65.0,19.0,74,7.556302500767287,4.770852011642144,7.770852011642144
7152,Teixe Gaúcho,20,Brazil,Vasco da Gama,CB,CB,174.0,Right,"Jan 1, 2019",73,1857,399,Medium,Medium,73,50,63,67,71,75,9.0,63.0,63.0,63.0,65.0,63.0,63.0,63.0,65.0,64.0,64.0,64.0,66.0,65.0,65.0,65.0,66.0,70.0,69.0,69.0,69.0,70.0,70.0,72.0,72.0,72.0,70.0,17.0,72,6.477121254719663,3.845098040014257,7.7558748556724915
7153,M. Lode,27,Norway,FK Bodø/Glimt,CB,CB,170.0,Right,"Feb 2, 2017",71,1664,370,Medium,Medium,75,37,55,62,70,71,12.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,58.0,60.0,60.0,60.0,58.0,66.0,67.0,67.0,67.0,66.0,67.0,70.0,70.0,70.0,67.0,17.0,70,7.278753600952829,3.4771212547196626,7.3979400086720375
7154,A. Tataev,18,Russia,FC Krasnodar,CB,CB,165.0,Right,"Jan 1, 2015",53,1277,262,Low,Medium,47,28,31,40,58,58,4.0,40.0,40.0,40.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,37.0,37.0,37.0,37.0,37.0,48.0,48.0,48.0,48.0,48.0,51.0,56.0,56.0,56.0,51.0,12.0,57,5.278753600952829,3.4771212547196626,5.606381365110605
7155,M. Ramkilde,22,Denmark,Queens Park Rangers,ST,ST,163.0,Right,"Mar 17, 2020",30,1366,300,Medium,Low,63,51,46,49,33,58,3.0,52.0,52.0,52.0,50.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,50.0,48.0,48.0,48.0,50.0,42.0,43.0,43.0,43.0,42.0,42.0,41.0,41.0,41.0,42.0,14.0,52,4.903089986991944,3.3010299956639813,5.214843848047698
7156,Formosandrinho,28,Brazil,Botafogo,ST,ST CF,159.0,Right,"Jan 1, 2019",20,1745,371,Medium,Medium,77,77,60,73,24,60,6.0,75.0,75.0,75.0,71.0,73.0,73.0,73.0,71.0,70.0,70.0,70.0,69.0,62.0,62.0,62.0,69.0,49.0,46.0,46.0,46.0,49.0,46.0,41.0,41.0,41.0,46.0,16.0,75,6.845098040014257,4.3979400086720375,8.123851640967086
7157,D. Peeters,21,Belgium,Juventus,CDM,CDM,165.0,Right,"Jan 30, 2019",64,1686,357,Medium,Medium,66,49,65,53,62,62,17.0,57.0,57.0,57.0,58.0,59.0,59.0,59.0,58.0,60.0,60.0,60.0,61.0,62.0,62.0,62.0,61.0,63.0,64.0,64.0,64.0,63.0,63.0,62.0,62.0,62.0,63.0,16.0,65,5.889301702506311,4.0,7.146128035678238
7158,J. Mitchell-Lawson,20,England,Bristol Rovers,RM,RM LM ST,132.0,Right,"Jul 1, 2018",42,1543,323,High,Medium,72,54,55,65,36,41,8.0,55.0,55.0,55.0,61.0,59.0,59.0,59.0,61.0,59.0,59.0,59.0,60.0,54.0,54.0,54.0,60.0,50.0,46.0,46.0,46.0,50.0,48.0,41.0,41.0,41.0,48.0,16.0,61,5.653212513775344,3.3010299956639813,0.0
7159,A. Diamanti,37,Italy,Western United FC,CAM,RW CAM,165.0,Left,"Jul 25, 2019",32,1878,384,Medium,Medium,61,72,78,79,33,61,16.0,71.0,71.0,71.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,74.0,72.0,72.0,72.0,74.0,56.0,56.0,56.0,56.0,56.0,52.0,46.0,46.0,46.0,52.0,18.0,75,7.342422680822207,3.4771212547196626,7.447158031342219
7160,D. Post,31,Netherlands,VVV-Venlo,CB,CDM CM,203.0,Right,"Jul 22, 2013",57,1716,361,Medium,High,39,58,57,59,63,85,3.0,60.0,60.0,60.0,55.0,58.0,58.0,58.0,55.0,58.0,58.0,58.0,57.0,63.0,63.0,63.0,57.0,60.0,66.0,66.0,66.0,60.0,60.0,68.0,68.0,68.0,60.0,18.0,67,5.7596678446896306,3.4771212547196626,5.921166050637739
7161,Chi Zhongguo,30,China PR,China PR,CDM,CM CDM,143.0,Right,"Jan 1, 2018",69,1854,390,Medium,High,70,55,67,64,69,65,3.0,61.0,61.0,61.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,68.0,68.0,68.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,69.0,18.0,68,5.9164539485499255,3.9030899869919438,7.113943352306837
7162,M. Gabbia,20,Italy,Milan,CB,CB,172.0,Right,"Jul 1, 2017",74,1405,297,Low,High,52,33,40,49,68,55,73.0,44.0,44.0,44.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,45.0,45.0,45.0,43.0,54.0,55.0,55.0,55.0,54.0,57.0,63.0,63.0,63.0,57.0,16.0,63,5.8750612633917,3.6989700043360187,7.230448921378274
7163,K. Dolly,27,South Africa,Montpellier HSC,CAM,CAM LM,154.0,Left,"Jan 27, 2017",55,1795,376,High,High,76,69,70,73,36,52,9.0,63.0,63.0,63.0,71.0,69.0,69.0,69.0,71.0,70.0,70.0,70.0,70.0,65.0,65.0,65.0,70.0,55.0,53.0,53.0,53.0,55.0,51.0,43.0,43.0,43.0,51.0,18.0,70,6.301029995663981,4.230448921378274,7.623249290397901
7164,Carlos Marín,23,Spain,Real Betis,GK,GK,165.0,Right,"Jul 31, 2018",10,895,334,Medium,Medium,66,65,60,57,27,59,5.0,21.0,21.0,21.0,18.0,20.0,20.0,20.0,18.0,21.0,21.0,21.0,20.0,22.0,22.0,22.0,20.0,19.0,21.0,21.0,21.0,19.0,19.0,20.0,20.0,20.0,19.0,59.0,60,5.380211241711606,3.3010299956639813,5.7419390777291985
7165,P. Martinez,31,France,Nîmes Olympique,CB,CB,170.0,Left,"Jul 1, 2019",74,1839,389,High,Medium,63,45,63,69,75,74,10.0,58.0,58.0,58.0,62.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,64.0,65.0,65.0,65.0,64.0,71.0,71.0,71.0,71.0,71.0,71.0,73.0,73.0,73.0,71.0,20.0,73,6.477121254719663,4.230448921378274,6.778151250383644
7166,L. Gourna-Douath,16,France,AS Saint-Étienne,CAM,CM CDM,154.0,Right,"Jul 1, 2020",61,1621,349,Medium,High,66,46,57,63,59,58,22.0,56.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,15.0,59,5.477121254719663,2.7781512503836434,5.954242509439325
7167,F. Di Santo,31,Argentina,San Lorenzo de Almagro,ST,ST LW CAM,194.0,Right,"Jul 13, 2020",48,1858,396,High,Medium,69,69,68,71,45,74,9.0,71.0,71.0,71.0,70.0,71.0,71.0,71.0,70.0,71.0,71.0,71.0,70.0,68.0,68.0,68.0,70.0,58.0,59.0,59.0,59.0,58.0,56.0,56.0,56.0,56.0,56.0,16.0,71,7.3222192947339195,4.146128035678238,7.505149978319906
7168,G. Rodríguez,25,Argentina,Real Betis,CB,CDM CM,176.0,Right,"Jan 14, 2020",79,1847,395,Medium,High,56,56,65,63,77,78,54.0,63.0,63.0,63.0,61.0,63.0,63.0,63.0,61.0,64.0,64.0,64.0,63.0,69.0,69.0,69.0,63.0,71.0,75.0,75.0,75.0,71.0,72.0,76.0,76.0,76.0,72.0,18.0,76,7.929418925714293,4.301029995663981,8.267171728403014
7169,A. Traoré,25,Mali,FC Metz,LM,LM RM,163.0,Left,"Aug 20, 2018",12,1536,344,High,Low,86,60,55,68,17,58,4.0,64.0,64.0,64.0,66.0,65.0,65.0,65.0,66.0,64.0,64.0,64.0,65.0,55.0,55.0,55.0,65.0,46.0,40.0,40.0,40.0,46.0,43.0,34.0,34.0,34.0,43.0,13.0,66,5.903089986991944,3.6989700043360187,7.230448921378274
7170,K. Ehizibue,25,Netherlands,1. FC Köln,RB,RB RM,172.0,Right,"Jul 1, 2019",68,1911,430,High,High,90,57,64,71,68,80,69.0,67.0,67.0,67.0,70.0,68.0,68.0,68.0,70.0,67.0,67.0,67.0,71.0,67.0,67.0,67.0,71.0,72.0,69.0,69.0,69.0,72.0,72.0,70.0,70.0,70.0,72.0,17.0,74,7.812913356642856,4.3222192947339195,8.086359830674748
7171,L. Dreher,21,England,Crystal Palace,CM,CM,170.0,Right,"Nov 27, 2015",40,1519,327,Medium,Medium,59,47,57,60,46,58,11.0,52.0,52.0,52.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,57.0,56.0,58.0,58.0,58.0,56.0,52.0,55.0,55.0,55.0,52.0,52.0,51.0,51.0,51.0,52.0,12.0,58,5.380211241711606,3.7781512503836434,5.782472624166286
7172,J. Rudoni,19,England,AFC Wimbledon,CAM,CM,170.0,Right,"Mar 21, 2019",52,1581,343,Medium,Medium,67,52,54,60,53,57,4.0,56.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,57.0,58.0,58.0,58.0,57.0,55.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,55.0,15.0,58,5.439332693830263,2.929418925714293,5.814913181275074
7173,W. Coulibaly,28,Ivory Coast,Côte d'Ivoire,LB,LB,152.0,Left,"Jan 1, 2018",65,1688,371,Medium,Medium,72,41,56,67,66,69,25.0,55.0,55.0,55.0,61.0,58.0,58.0,58.0,61.0,59.0,59.0,59.0,63.0,60.0,60.0,60.0,63.0,68.0,64.0,64.0,64.0,68.0,67.0,66.0,66.0,66.0,67.0,15.0,69,0.0,0.0,0.0
7174,C. Eiting,22,Netherlands,Huddersfield Town,CM,CDM CM,168.0,Left,"Jan 1, 2014",71,1775,369,Medium,Medium,53,52,76,70,62,56,65.0,58.0,58.0,58.0,65.0,64.0,64.0,64.0,65.0,68.0,68.0,68.0,68.0,71.0,71.0,71.0,68.0,67.0,69.0,69.0,69.0,67.0,65.0,61.0,61.0,61.0,65.0,15.0,70,7.361727836017593,4.113943352306837,0.0
7175,A. Cubas,24,Paraguay,Nîmes Olympique,CDM,CDM CM,132.0,Right,"Jul 17, 2020",77,1891,393,High,Medium,69,52,68,72,75,57,52.0,60.0,60.0,60.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,69.0,73.0,73.0,73.0,69.0,74.0,74.0,74.0,74.0,74.0,74.0,70.0,70.0,70.0,74.0,18.0,75,7.929418925714293,4.2552725051033065,8.2718416065365
7176,C. Şahin,25,Turkey,Gazişehir Gaziantep F.K.,LW,RM LM,154.0,Left,"Aug 7, 2020",26,1725,371,Medium,Low,90,60,60,74,29,58,9.0,63.0,63.0,63.0,69.0,67.0,67.0,67.0,69.0,67.0,67.0,67.0,67.0,59.0,59.0,59.0,67.0,52.0,48.0,48.0,48.0,52.0,49.0,42.0,42.0,42.0,49.0,17.0,68,7.041392685158225,3.7781512503836434,7.361727836017593
7177,Sequeira,29,Portugal,SC Braga,LWB,LWB LW,174.0,Left,"Jul 1, 2017",74,1984,418,Medium,Medium,70,59,68,72,74,75,23.0,65.0,65.0,65.0,67.0,65.0,65.0,65.0,67.0,65.0,65.0,65.0,69.0,68.0,68.0,68.0,69.0,76.0,73.0,73.0,73.0,76.0,75.0,73.0,73.0,73.0,75.0,17.0,78,7.929418925714293,4.204119982655925,7.230448921378274
7178,M. Gajos,29,Poland,Lechia Gdańsk,CAM,CM CDM,143.0,Right,"Jul 1, 2019",57,1883,400,Medium,Medium,73,65,65,66,61,70,3.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,66.0,65.0,64.0,64.0,64.0,65.0,65.0,63.0,63.0,63.0,65.0,13.0,65,5.720159303405957,3.4771212547196626,5.850646235183066
7179,C. McManaman,28,England,Luton Town,RM,RM ST,161.0,Right,"Jul 1, 2019",33,1635,356,Medium,Low,74,63,60,74,26,59,5.0,64.0,64.0,64.0,68.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,67.0,60.0,60.0,60.0,67.0,49.0,48.0,48.0,48.0,49.0,45.0,39.0,39.0,39.0,45.0,18.0,68,5.954242509439325,3.9030899869919438,7.230448921378274
7180,A. Bernede,21,France,FC Red Bull Salzburg,CM,CM CDM,163.0,Left,"Feb 6, 2019",68,1851,397,Medium,Medium,65,58,67,73,66,68,34.0,63.0,63.0,63.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,68.0,71.0,71.0,71.0,68.0,67.0,70.0,70.0,70.0,67.0,66.0,66.0,66.0,66.0,66.0,18.0,71,7.556302500767287,4.113943352306837,7.785329835010767
7181,S. Abdulai,21,Ghana,Getafe CF,CDM,CDM CM CB,170.0,Right,"Jul 1, 2019",48,1588,332,Medium,Medium,63,42,58,58,55,56,3.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,55.0,57.0,57.0,57.0,55.0,56.0,59.0,59.0,59.0,56.0,57.0,58.0,58.0,58.0,57.0,16.0,60,5.477121254719663,3.4771212547196626,5.838849090737256
7182,T. Harwood-Bellis,18,England,Manchester City,CB,CB,159.0,Right,"Sep 13, 2019",61,1513,323,High,Medium,63,35,49,53,62,61,119.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,51.0,53.0,53.0,53.0,51.0,58.0,58.0,58.0,58.0,58.0,59.0,61.0,61.0,61.0,59.0,15.0,61,5.720159303405957,3.6020599913279625,7.176091259055681
7183,E. Elizalde,19,Uruguay,Pescara,LB,LB CB,172.0,Left,"Jul 25, 2018",60,1410,313,Medium,Medium,71,26,41,54,58,63,6.0,42.0,42.0,42.0,46.0,43.0,43.0,43.0,46.0,43.0,43.0,43.0,48.0,46.0,46.0,46.0,48.0,57.0,55.0,55.0,55.0,57.0,58.0,58.0,58.0,58.0,58.0,14.0,59,5.477121254719663,2.6989700043360187,5.814913181275074
7184,A. Ćatić,21,Bosnia Herzegovina,ADO Den Haag,RM,RW,172.0,Right,"Jul 1, 2020",28,1583,348,Medium,Medium,87,55,56,62,28,60,19.0,59.0,59.0,59.0,62.0,59.0,59.0,59.0,62.0,59.0,59.0,59.0,61.0,53.0,53.0,53.0,61.0,49.0,44.0,44.0,44.0,49.0,47.0,40.0,40.0,40.0,47.0,15.0,62,5.676693609624866,3.3010299956639813,5.894316062684439
7185,M. Gómez,21,Argentina,Gimnasia y Esgrima La Plata,RM,LM LW,143.0,Right,"May 4, 2018",59,1712,371,Medium,Medium,79,53,58,70,52,59,6.0,62.0,62.0,62.0,65.0,64.0,64.0,64.0,65.0,63.0,63.0,63.0,65.0,60.0,60.0,60.0,65.0,61.0,57.0,57.0,57.0,61.0,60.0,55.0,55.0,55.0,60.0,17.0,66,7.079181246047625,3.6020599913279625,6.301029995663981
7186,S. Nutz,28,Austria,SV Ried,CAM,CAM CM,148.0,Left,"Jul 6, 2019",52,1869,385,Medium,Medium,67,63,71,66,54,64,4.0,63.0,63.0,63.0,66.0,65.0,65.0,65.0,66.0,67.0,67.0,67.0,66.0,67.0,67.0,67.0,66.0,63.0,62.0,62.0,62.0,63.0,62.0,58.0,58.0,58.0,62.0,16.0,67,5.889301702506311,3.6020599913279625,7.041392685158225
7187,Tòfol Montiel,20,Spain,Fiorentina,CAM,CAM,141.0,Left,"Jul 1, 2019",40,1606,338,High,Medium,67,58,58,68,39,48,5.0,58.0,58.0,58.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,61.0,58.0,58.0,58.0,61.0,51.0,50.0,50.0,50.0,51.0,49.0,44.0,44.0,44.0,49.0,17.0,62,5.829303772831025,3.7781512503836434,7.204119982655925
7188,A. Konradsen,29,Norway,Rosenborg BK,CM,CM CDM,168.0,Right,"Aug 16, 2015",63,1935,404,High,High,65,65,65,65,65,79,6.0,67.0,67.0,67.0,65.0,66.0,66.0,66.0,65.0,66.0,66.0,66.0,66.0,68.0,68.0,68.0,66.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,67.0,18.0,68,5.929418925714293,3.6020599913279625,7.041392685158225
7189,M. Talbi,22,Tunisia,Çaykur Rizespor,CB,CB,163.0,Right,"Jul 1, 2018",62,1391,291,Medium,Medium,56,30,41,43,64,57,3.0,42.0,42.0,42.0,40.0,41.0,41.0,41.0,40.0,41.0,41.0,41.0,42.0,46.0,46.0,46.0,42.0,55.0,56.0,56.0,56.0,55.0,58.0,61.0,61.0,61.0,58.0,15.0,61,5.511883360978874,3.3010299956639813,5.854306041801081
